2022-06-22 18:16:55 install libcrypt1:amd64 <none> 1:4.4.27-1.1
2022-06-22 18:16:55 status half-installed libcrypt1:amd64 1:4.4.27-1.1
2022-06-22 18:16:55 status unpacked libcrypt1:amd64 1:4.4.27-1.1
2022-06-22 18:16:56 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.9
2022-06-22 18:16:56 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.9
2022-06-22 18:16:56 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.9
2022-06-22 18:16:56 install libdebconfclient0:amd64 <none> 0.262
2022-06-22 18:16:56 status half-installed libdebconfclient0:amd64 0.262
2022-06-22 18:16:56 status unpacked libdebconfclient0:amd64 0.262
2022-06-22 18:16:56 install libext2fs2:amd64 <none> 1.46.5-2
2022-06-22 18:16:56 status half-installed libext2fs2:amd64 1.46.5-2
2022-06-22 18:16:57 status unpacked libext2fs2:amd64 1.46.5-2
2022-06-22 18:16:57 install libffi8:amd64 <none> 3.4.2-4
2022-06-22 18:16:57 status half-installed libffi8:amd64 3.4.2-4
2022-06-22 18:16:57 status unpacked libffi8:amd64 3.4.2-4
2022-06-22 18:16:57 install libgcc-s1:amd64 <none> 12.1.0-2
2022-06-22 18:16:57 status half-installed libgcc-s1:amd64 12.1.0-2
2022-06-22 18:16:57 status unpacked libgcc-s1:amd64 12.1.0-2
2022-06-22 18:16:57 install libgcrypt20:amd64 <none> 1.10.1-2
2022-06-22 18:16:57 status half-installed libgcrypt20:amd64 1.10.1-2
2022-06-22 18:16:57 status unpacked libgcrypt20:amd64 1.10.1-2
2022-06-22 18:16:57 install libgmp10:amd64 <none> 2:6.2.1+dfsg-3
2022-06-22 18:16:57 status half-installed libgmp10:amd64 2:6.2.1+dfsg-3
2022-06-22 18:16:57 status unpacked libgmp10:amd64 2:6.2.1+dfsg-3
2022-06-22 18:16:57 install libgnutls30:amd64 <none> 3.7.4-2
2022-06-22 18:16:57 status half-installed libgnutls30:amd64 3.7.4-2
2022-06-22 18:16:57 status unpacked libgnutls30:amd64 3.7.4-2
2022-06-22 18:16:58 install libgpg-error0:amd64 <none> 1.45-2
2022-06-22 18:16:58 status half-installed libgpg-error0:amd64 1.45-2
2022-06-22 18:16:58 status unpacked libgpg-error0:amd64 1.45-2
2022-06-22 18:16:58 install libhogweed6:amd64 <none> 3.7.3-1
2022-06-22 18:16:58 status half-installed libhogweed6:amd64 3.7.3-1
2022-06-22 18:16:58 status unpacked libhogweed6:amd64 3.7.3-1
2022-06-22 18:16:58 install libidn2-0:amd64 <none> 2.3.2-2
2022-06-22 18:16:58 status half-installed libidn2-0:amd64 2.3.2-2
2022-06-22 18:16:59 status unpacked libidn2-0:amd64 2.3.2-2
2022-06-22 18:16:59 install liblz4-1:amd64 <none> 1.9.3-2
2022-06-22 18:16:59 status half-installed liblz4-1:amd64 1.9.3-2
2022-06-22 18:16:59 status unpacked liblz4-1:amd64 1.9.3-2
2022-06-22 18:17:00 install liblzma5:amd64 <none> 5.2.5-2.1
2022-06-22 18:17:00 status half-installed liblzma5:amd64 5.2.5-2.1
2022-06-22 18:17:00 status unpacked liblzma5:amd64 5.2.5-2.1
2022-06-22 18:17:00 install libmount1:amd64 <none> 2.38-4
2022-06-22 18:17:00 status half-installed libmount1:amd64 2.38-4
2022-06-22 18:17:00 status unpacked libmount1:amd64 2.38-4
2022-06-22 18:17:00 install libnettle8:amd64 <none> 3.7.3-1
2022-06-22 18:17:00 status half-installed libnettle8:amd64 3.7.3-1
2022-06-22 18:17:00 status unpacked libnettle8:amd64 3.7.3-1
2022-06-22 18:17:01 install libp11-kit0:amd64 <none> 0.24.1-1
2022-06-22 18:17:01 status half-installed libp11-kit0:amd64 0.24.1-1
2022-06-22 18:17:01 status unpacked libp11-kit0:amd64 0.24.1-1
2022-06-22 18:17:01 install libpam-modules:amd64 <none> 1.4.0-13
2022-06-22 18:17:01 status half-installed libpam-modules:amd64 1.4.0-13
2022-06-22 18:17:02 status unpacked libpam-modules:amd64 1.4.0-13
2022-06-22 18:17:03 install libpam-modules-bin:amd64 <none> 1.4.0-13
2022-06-22 18:17:03 status half-installed libpam-modules-bin:amd64 1.4.0-13
2022-06-22 18:17:04 status unpacked libpam-modules-bin:amd64 1.4.0-13
2022-06-22 18:17:05 install libpam-runtime:all <none> 1.4.0-13
2022-06-22 18:17:05 status half-installed libpam-runtime:all 1.4.0-13
2022-06-22 18:17:05 status unpacked libpam-runtime:all 1.4.0-13
2022-06-22 18:17:05 install libpam0g:amd64 <none> 1.4.0-13
2022-06-22 18:17:05 status half-installed libpam0g:amd64 1.4.0-13
2022-06-22 18:17:05 status unpacked libpam0g:amd64 1.4.0-13
2022-06-22 18:17:05 install libpcre2-8-0:amd64 <none> 10.40-1
2022-06-22 18:17:05 status half-installed libpcre2-8-0:amd64 10.40-1
2022-06-22 18:17:05 status unpacked libpcre2-8-0:amd64 10.40-1
2022-06-22 18:17:05 install libpcre3:amd64 <none> 2:8.39-14
2022-06-22 18:17:05 status half-installed libpcre3:amd64 2:8.39-14
2022-06-22 18:17:05 status unpacked libpcre3:amd64 2:8.39-14
2022-06-22 18:17:06 install libseccomp2:amd64 <none> 2.5.4-1
2022-06-22 18:17:06 status half-installed libseccomp2:amd64 2.5.4-1
2022-06-22 18:17:06 status unpacked libseccomp2:amd64 2.5.4-1
2022-06-22 18:17:06 install libselinux1:amd64 <none> 3.3-1+b2
2022-06-22 18:17:06 status half-installed libselinux1:amd64 3.3-1+b2
2022-06-22 18:17:06 status unpacked libselinux1:amd64 3.3-1+b2
2022-06-22 18:17:06 install libsemanage-common:all <none> 3.3-1
2022-06-22 18:17:06 status half-installed libsemanage-common:all 3.3-1
2022-06-22 18:17:06 status unpacked libsemanage-common:all 3.3-1
2022-06-22 18:17:06 install libsemanage2:amd64 <none> 3.3-1+b2
2022-06-22 18:17:06 status half-installed libsemanage2:amd64 3.3-1+b2
2022-06-22 18:17:06 status unpacked libsemanage2:amd64 3.3-1+b2
2022-06-22 18:17:06 install libsepol2:amd64 <none> 3.3-1
2022-06-22 18:17:06 status half-installed libsepol2:amd64 3.3-1
2022-06-22 18:17:06 status unpacked libsepol2:amd64 3.3-1
2022-06-22 18:17:06 install libsmartcols1:amd64 <none> 2.38-4
2022-06-22 18:17:06 status half-installed libsmartcols1:amd64 2.38-4
2022-06-22 18:17:06 status unpacked libsmartcols1:amd64 2.38-4
2022-06-22 18:17:06 install libss2:amd64 <none> 1.46.5-2
2022-06-22 18:17:06 status half-installed libss2:amd64 1.46.5-2
2022-06-22 18:17:06 status unpacked libss2:amd64 1.46.5-2
2022-06-22 18:17:06 install libstdc++6:amd64 <none> 12.1.0-2
2022-06-22 18:17:06 status half-installed libstdc++6:amd64 12.1.0-2
2022-06-22 18:17:06 status unpacked libstdc++6:amd64 12.1.0-2
2022-06-22 18:17:06 install libsystemd0:amd64 <none> 250.4-1
2022-06-22 18:17:06 status half-installed libsystemd0:amd64 250.4-1
2022-06-22 18:17:06 status unpacked libsystemd0:amd64 250.4-1
2022-06-22 18:17:06 install libtasn1-6:amd64 <none> 4.18.0-4
2022-06-22 18:17:06 status half-installed libtasn1-6:amd64 4.18.0-4
2022-06-22 18:17:06 status unpacked libtasn1-6:amd64 4.18.0-4
2022-06-22 18:17:06 install libtinfo6:amd64 <none> 6.3+20220423-2
2022-06-22 18:17:06 status half-installed libtinfo6:amd64 6.3+20220423-2
2022-06-22 18:17:06 status unpacked libtinfo6:amd64 6.3+20220423-2
2022-06-22 18:17:06 install libudev1:amd64 <none> 250.4-1
2022-06-22 18:17:06 status half-installed libudev1:amd64 250.4-1
2022-06-22 18:17:06 status unpacked libudev1:amd64 250.4-1
2022-06-22 18:17:06 install libunistring2:amd64 <none> 1.0-1
2022-06-22 18:17:06 status half-installed libunistring2:amd64 1.0-1
2022-06-22 18:17:06 status unpacked libunistring2:amd64 1.0-1
2022-06-22 18:17:06 install libuuid1:amd64 <none> 2.38-4
2022-06-22 18:17:06 status half-installed libuuid1:amd64 2.38-4
2022-06-22 18:17:06 status unpacked libuuid1:amd64 2.38-4
2022-06-22 18:17:06 install libxxhash0:amd64 <none> 0.8.1-1
2022-06-22 18:17:06 status half-installed libxxhash0:amd64 0.8.1-1
2022-06-22 18:17:06 status unpacked libxxhash0:amd64 0.8.1-1
2022-06-22 18:17:06 install libzstd1:amd64 <none> 1.5.2+dfsg-1
2022-06-22 18:17:06 status half-installed libzstd1:amd64 1.5.2+dfsg-1
2022-06-22 18:17:06 status unpacked libzstd1:amd64 1.5.2+dfsg-1
2022-06-22 18:17:06 install login:amd64 <none> 1:4.11.1+dfsg1-2
2022-06-22 18:17:06 status half-installed login:amd64 1:4.11.1+dfsg1-2
2022-06-22 18:17:07 status unpacked login:amd64 1:4.11.1+dfsg1-2
2022-06-22 18:17:07 install logsave:amd64 <none> 1.46.5-2
2022-06-22 18:17:07 status half-installed logsave:amd64 1.46.5-2
2022-06-22 18:17:07 status unpacked logsave:amd64 1.46.5-2
2022-06-22 18:17:07 install lsb-base:all <none> 11.2
2022-06-22 18:17:07 status half-installed lsb-base:all 11.2
2022-06-22 18:17:07 status unpacked lsb-base:all 11.2
2022-06-22 18:17:07 upgrade mawk:amd64 1.3.4.20200120-3+b1 1.3.4.20200120-3+b1
2022-06-22 18:17:07 status half-configured mawk:amd64 1.3.4.20200120-3+b1
2022-06-22 18:17:07 status unpacked mawk:amd64 1.3.4.20200120-3+b1
2022-06-22 18:17:07 status half-installed mawk:amd64 1.3.4.20200120-3+b1
2022-06-22 18:17:07 status unpacked mawk:amd64 1.3.4.20200120-3+b1
2022-06-22 18:17:07 install mount:amd64 <none> 2.38-4
2022-06-22 18:17:07 status half-installed mount:amd64 2.38-4
2022-06-22 18:17:07 status unpacked mount:amd64 2.38-4
2022-06-22 18:17:07 install ncurses-base:all <none> 6.3+20220423-2
2022-06-22 18:17:07 status half-installed ncurses-base:all 6.3+20220423-2
2022-06-22 18:17:07 status unpacked ncurses-base:all 6.3+20220423-2
2022-06-22 18:17:07 install ncurses-bin:amd64 <none> 6.3+20220423-2
2022-06-22 18:17:07 status half-installed ncurses-bin:amd64 6.3+20220423-2
